Entry_No,Sample_ID,Reference Doi,Reference Short,Rocktype,Craton,Country,Specific Location,Mineral,Garnet_type,SiO2,TiO2,Al2O3,CaO,Cr2O3,FeO,Fe2O3,MgO,MnO,Na2O,Ni,Sr,T,P
3191,AT1020(II)aGrt-clot,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Grt-clot,Kalahari,South Africa,Kimberley,Garnet,G10,42.6,0.005,20.83,3.85,4.71,6.191,0.188,21.6,0.36,0.01,,,904.97,38.86
3199,AT1039Opx-clot,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Opx-clot,Kalahari,South Africa,Kimberley,Garnet,G9,42.4,0.01534652,19.99,5.17,5.78,5.983,0.186,19.9,0.35,0.02,,1.63,959.67,43.26
3203,AT1039Hz,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Hz,Kalahari,South Africa,Kimberley,Garnet,G9,42.1,0.01517971,19.21,5.22,5.8,6.113,0.185,20.9,0.35,0.01,,1.07,1005.66,45.62
3207,AT1040Opx-clot,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Opx-clot,Kalahari,South Africa,Kimberley,Garnet,G9,42,0.00316939,20.29,4.87,5.3,5.872,0.186,21.1,0.31,0.02,,0.74,992.67,43.03
3210,AT1040Hz,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Hz,Kalahari,South Africa,Kimberley,Garnet,G9,42,0.00350301,20.23,4.85,5.28,5.942,0.186,21.3,0.31,0.01,,0.81,997.38,43.5
3213,AT1045C1Opx-clot,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Opx-clot,Kalahari,South Africa,Kimberley,Garnet,G9,42.9,0.03553053,20.52,4.61,4.34,6.251,0.188,21.1,0.31,0.04,,0.39,988.22,39.66
3217,AT1045Lz1Lz,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Lz,Kalahari,South Africa,Kimberley,Garnet,G9,42.6,0.029,20.47,4.79,4.35,6.272,0.187,21.1,0.3,0.03,,,978.76,38.84
3220,AT1045C2Opx-clot,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Opx-clot,Kalahari,South Africa,Kimberley,Garnet,G9,42.2,0.04603956,20.64,4.61,4.28,6.232,0.186,21.2,0.34,0.03,,0.49,928.14,36.54
3224,AT1045Opx-LzOpx-richLz,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Opx-rich Lz,Kalahari,South Africa,Kimberley,Garnet,G9,42,0.037,20.61,4.8,4.29,6.333,0.185,20.6,0.35,0.03,,,954.89,38.73
3228,AT1045Lz2Lz,https://doi.org/10.1016/j.gca.2009.07.038,Wasch 2009,Lz,Kalahari,South Africa,Kimberley,Garnet,G9,42.4,0.04387103,20.29,4.61,4.27,6.272,0.186,21.4,0.31,0.03,,0.34,1002.59,40.23
3236,MY0211,https://doi.org/10.1093/petrology/egl042,Zheng 2006,Grt Perid,North China,China,Sulu,Garnet,G10,41.2,0.09358041,16.2,4.93,9.86,6.323,0.253,21,0.26,0,69.2,4.09,1143.03,70.71
3358,LT98/5,https://doi.org/10.1016/j.gca.2016.11.041,An et al 2017,Garnet Peridotite,Kalahari,Lesotho,Letseng-le-Terai,Garnet,G9,41.37,0.04,20.43,5.54,5.03,6.464,0.184,19.81,0.33,,53,0.99,939.19,40.2
3366,LT98/12,https://doi.org/10.1016/j.gca.2016.11.041,An et al 2017,Garnet Peridotite,Kalahari,Lesotho,Letseng-le-Terai,Garnet,G9,41.41,0.03,19.96,5.29,5.83,6.345,0.184,19.8,0.32,,488,45.69,893,38.18
3370,LT98/13,https://doi.org/10.1016/j.gca.2016.11.041,An et al 2017,Garnet Peridotite,Kalahari,Lesotho,Letseng-le-Terai,Garnet,G11,41.58333333,0.416666667,19.18,5.23,5.26,6.934,0.184,20.72,0.21,,167,3.68,1288.39,50.19
3375,LT98/14,https://doi.org/10.1016/j.gca.2016.11.041,An et al 2017,Garnet Peridotite,Kalahari,Lesotho,Letseng-le-Terai,Garnet,G9,40.855,0.01,19.3725,5.875,6.635,6.548,0.183,19.765,0.3325,,169.5,1.985,998.58,45.74
3380,LT98/15,https://doi.org/10.1016/j.gca.2016.11.041,An et al 2017,Garnet Peridotite,Kalahari,Lesotho,Letseng-le-Terai,Garnet,G9,41.3525,0.1275,19.2575,5.5375,6.3025,6.557,0.184,20.1325,0.35,,346,25.99,1016.24,45.36
3391,vr09356,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.13,0.19867071,18.01,5.33,7.17,7.086,0.183,20.1,0.32,,40,0.6,967.66,45.72
3392,vr09358,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,40.96,0.32294416,16.27,6.64,8.57,6.666,0.726,19.57,0.26,,99,0.6,1205.27,57.14
3393,vr09359,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,40.72,0.19867071,14.93,7.59,10.16,6.716,0.572,18.63,0.19,,80,0.5,1251.08,64.8
3394,vr09361,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,40.18,1.00519706,13.51,7.61,11.06,7.06,0.178,18.22,0.2,,80,1.1,1073.04,53.01
3397,vr09370,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,40.95,0.72095282,16.43,6.44,8.56,6.627,0.182,19.45,0.29,,40,1.4,943.49,46.39
3398,vr09371,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,40.73,0.19,15.1,7.61,10.11,6.597,0.615,18.68,0.2,,,,1265.96,65.02
3402,vr19674¬¨‚Ä†pg3,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.26,0,18.1,6.45,7.36,7.776,0.183,18.6,0.4,,,,792.38,42.09
3403,vr40304,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,41.04,0.69,16.95,6.02,7.12,7.307,0.181,19.51,0.24,,,,1148.84,57.07
3404,vr40332,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,42.15,0.30009119,21.36,4.47,2.47,6.264,0.751,22.31,0.24,,71,0.3,1204.7,64.14
3406,vr40358,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,40.69,0.67,13.61,7.23,11.96,6.719,0.179,18.6,0.17,,,,1160.43,59.69
3409,vr40391,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,41.92,0.4,17.5,5.14,7.57,6.434,0.185,20.93,0.19,,,,1029.91,49.11
3412,vr43466,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G10,41.43,0.0100086,18.64,5.01,6.92,7.185,0.184,20.13,0.34,,23,1.6,877.84,48.51
3413,vr43467,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,40.77,0.733964,15.9,6.5,8.84,7.057,0.181,19.32,0.2,,78,0.9,1107.11,54.92
3414,vr43499,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.63,0.33362,19.84,5.14,4.77,7.594,0.184,20.01,0.32,,55,<¬¨‚Ä†2.6,989.52,50.3
3415,vr50851,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G10,41.94,0.28,16.54,5.46,9,6.084,0.184,20.9,0.17,,,,1041.32,47.47
3417,vr50855,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,41.59,0.40067762,17.7,5.27,7.35,6.304,0.184,21.14,0.23,,58,2.1,1086.3,52.35
3418,vr50861,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.16,0,18.23,6.41,6.99,7.487,0.181,18.18,0.35,,,,916.19,49.07
3421,vr50875,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.82,0.17331559,19.8,4.8,4.77,6.955,0.184,20.17,0.31,,49,0.3,982.78,44.8
3422,vr50879,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,40.98,0.73413081,17.87,5.84,5.99,7.333,0.73,20.08,0.26,,80,0.5,1202.62,53.69
3424,vr50885,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.23,0.28,16.51,5.84,8.89,5.791,0.355,20.81,0.17,,,,1124.91,51.46
3425,vr50886,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,41.04,0.72145325,18.69,5.37,4.73,7.786,0.182,20.06,0.26,,102,0.5,1162.1,52.44
3426,vr50904,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt harz,Slave,Canada,Lac de Gras,Garnet,G10,41.17,0,16.18,4.98,9.77,6.846,0.182,20.31,0.25,,,,1024.65,62.84
3427,vr50914,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.83,0.14829409,18.66,5.62,6.08,6.674,0.185,20.62,0.22,,76,0.1,1140.1,53.9
3429,vr51902,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,41.2,0.66,18.4,5.52,5.8,6.739,0.735,20.66,0.23,,,,1351.86,66.52
3431,vr67106,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,40.83,0.37,15.76,6.55,9.35,6.828,0.18,19.09,0.21,,,,1061.33,48.52
3432,vr67112,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.76,0.09,18.68,5.72,6.46,6.734,0.185,20.56,0.22,,,,1116.8,55.84
3433,vr67125,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,40.83,0.21,15.29,7.18,10.2,6.618,0.18,18.51,0.17,,,,1106,54.18
3435,yk1912,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.46,0.2535512,18.07,5.82,7.01,6.165,0.184,20.57,0.2,,71,<¬¨‚Ä†0.8,1076.09,52.42
3436,yk1917,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.13,0.3402924,19.41,5.37,4.86,7.689,0.735,20.2,0.26,,90,<¬¨‚Ä†2.4,1182.39,54.35
3438,yk1919,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,42.09,0.4470508,20.74,4.59,2.89,7.463,0.186,21.05,0.27,,78,<¬¨‚Ä†0.27,1096.29,49.6
3440,yk1920,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.24,0.25,17.4,5.97,7.52,6.99,0.422,19.99,0.25,,,,1095.5,49.04
3441,yk1923,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt sp lherz,Slave,Canada,Lac de Gras,Garnet,G9,42.02,0.033362,22.61,5.68,1.75,8.242,0.186,19.37,0.32,,21,<¬¨‚Ä†1.0,756.81,25.69
3443,yk2471,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G11,41.74,0.650559,18.72,5.5,6.33,6.643,0.186,20.62,0.22,,60,0.8,1066.06,48.44
3444,yk2472,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,40.58,0.1751505,15.46,6.77,9.07,6.926,0.716,19.05,0.21,,82,<¬¨‚Ä†1.5,1208.8,58.94
3446,yk2474,https://doi.org/10.1016/j.chemgeo.2013.05.037,"Aulbach 2007, 2013",gt lherz,Slave,Canada,Lac de Gras,Garnet,G9,41.8,0.1551333,17.97,5.64,7.15,7.124,0.184,20.03,0.25,,51,<¬¨‚Ä†0.9,987.5,45.7
3524,BFT147,https://doi.org/10.1007/s00410-005-0673-8,Bell et al 2005,,Kalahari,South Africa,Kimberley,Garnet,G10,41.3,0.01100946,18.8,3.18,7.49,5.434,0.185,22.6,0.3,0.03,29,1.19,816.86,38.52
3529,H00-11-16,https://doi.org/10.1016/j.tecto.2021.229029,Chin et al 2021,Hz,Wyoming,USA,Montana,Garnet,G9,42.04,0.26,22.18,4.81,1.99,7.272,0.265,21.12,0.29,0.03,71,0.4,1175.79,37.43
3544,H00-12-1,https://doi.org/10.1016/j.tecto.2021.229029,Chin et al 2021,Hz,Wyoming,USA,Montana,Garnet,G9,41.82,0.04,20.4,6.33,5.33,5.902,0.186,20.21,0.32,0.01,52,1.78,1018.15,32.43
3548,H01-4A,https://doi.org/10.1016/j.tecto.2021.229029,Chin et al 2021,Lhz,Wyoming,USA,Montana,Garnet,G9,41.88,0.09,21.46,4.78,3.53,7.692,0.187,20.42,0.44,0.03,44,0.8,895.46,34.58
3556,H01-4C,https://doi.org/10.1016/j.tecto.2021.229029,Chin et al 2021,Lhz,Wyoming,USA,Montana,Garnet,G9,41.92,0.3,21.71,4.99,3.28,7.272,0.187,20.35,0.27,0,68,0.2,1043.38,30.61
3563,H68-16B,https://doi.org/10.1016/j.tecto.2021.229029,Chin et al 2021,Hz,Wyoming,USA,Montana,Garnet,G9,41.62,0,20.34,6.09,5.4,7.553,0.186,19.27,0.47,0.01,21,0.35,842.09,37.57
3567,H69-15F,https://doi.org/10.1016/j.tecto.2021.229029,Chin et al 2021,Hz,Wyoming,USA,Montana,Garnet,G11,41.84,0.43,19.08,5.83,6.13,6.422,0.186,20.61,0.3,0.03,107,0.6,1212.49,47.2
3571,H81-26,https://doi.org/10.1016/j.tecto.2021.229029,Chin et al 2021,Hz,Wyoming,USA,Montana,Garnet,G9,41.615,0.24,19.39,6.105,5.86,6.152,0.343,20.59,0.295,0,99,0.656,1413.24,54.3
3575,H81-27,https://doi.org/10.1016/j.tecto.2021.229029,Chin et al 2021,Hz,Wyoming,USA,Montana,Garnet,G9,41.4,0.28,19.56,5.94,5.67,6.354,0.185,20.15,0.29,0.02,97,0.6,1242.26,44.68
3578,H93-11B,https://doi.org/10.1016/j.tecto.2021.229029,Chin et al 2021,Hz,Wyoming,USA,Montana,Garnet,G10,41.26,0.47,17.48,4.83,8.68,5.544,0.184,21.15,0.29,0.05,83,0.46,1106.21,38.2
3583,KBD7,https://doi.org/10.1016/j.lithos.2014.09.030,Hanger et al. 2015,Lherzolite,Kalahari,South Africa,Wesselton,Garnet,G10,42.97,0.00800688,21,4.16,3.51,5.3,0.189,22.51,0.24,0.01,50,1.15,1069.64,44.77
3595,KBD18,https://doi.org/10.1016/j.lithos.2014.09.030,Hanger et al. 2015,Lherzolite,Kalahari,South Africa,Wesselton,Garnet,G10,42.78,0.011242994,20.77,4.09,4.8,5.729,0.19,22.24,0.27,0.04,41.9,1.79,977.44,41.23
3714,M1Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,IRPS,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.1,0.4,21.9,4.32,2.33,9.711,0.187,19.8,0.41,0.07,,3.1,967.07,39.37
3715,M1Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,IRPS,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42,0.41,21.7,4.35,2.31,9.712,0.186,19.6,0.4,0.07,,,954.07,38.61
3716,M2Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,41.9,0.01934996,20.9,4.97,4.41,6.643,0.186,20.4,0.41,,,1.41,888.35,36.14
3717,M2Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G10,42,0.03019261,21,4.16,4.37,6.732,0.186,21,0.4,,,0.95,873.03,35.06
3719,M9Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.6,0.19,20.3,5.24,5.04,6.861,0.188,20.6,0.43,,,,992,42.74
3720,M9Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G11,42.7,0.38,21,4.78,4.13,6.91,0.189,21,0.38,,,,961.77,40.35
3721,M13Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet-spinel Peridotite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.1,0.03369562,17.9,6.32,8.07,6.683,0.185,19.3,0.46,,,5.89,962.48,43.69
3722,M13Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet-spinel Peridotite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G11,42.5,0.47123825,18.8,6.23,7.18,6.741,0.188,19.6,0.47,,,2.24,1023.47,44.17
3723,GP404Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Peridotite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.8,0.0950817,21.2,5.06,4.05,7.04,0.189,20.9,0.39,,,0.76,982,39.86
3724,GP404Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Peridotite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.6,0.17414964,21.3,4.75,3.59,7,0.189,21.2,0.38,,,0.58,989.49,39.77
3725,LET2Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Harzburgite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G10,42.1,0.03819949,18.3,4.36,8.16,6.111,0.187,22,0.34,,,1.95,943.35,38.53
3726,LET2Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Harzburgite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G10,42.6,0.03,20.6,4.51,4.83,5.937,0.315,22.4,0.34,,,,1011.46,40.65
3727,LET29Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet-Spinel Harzburgite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.1,0.03,19.7,5.24,5.85,6.463,0.186,20.3,0.42,0.02,,0.88,955.09,37.69
3728,LET29Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet-Spinel Harzburgite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.6,0.02,19.8,5.23,5.71,6.531,0.187,20.5,0.41,0.03,,,959.35,38.17
3729,LET38Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.3,0.02885813,20.4,5.49,5.07,6.142,0.187,20.3,0.37,0.01,,,988.26,41.02
3731,LET64Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.1,0.02435426,20.1,5.32,4.61,6.163,0.186,20.8,0.35,0.03,,0.98,996.59,40.56
3732,LET64Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.8,0.03636458,20.9,5.25,4.58,6.33,0.188,20.6,0.37,0.03,,1.13,973.44,39.11
3733,LQ5Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.9,0.03,21,5.34,4.39,6.4,0.189,20.8,0.37,0.02,,,984.19,40.92
3734,LQ5Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.9,0.03,21,5.21,4.27,6.37,0.189,21,0.38,0.02,,,981.19,39.4
3735,LQ6Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.7,0.17248154,20.8,4.7,4.4,6.74,0.189,21.2,0.39,0.04,,0.72,937.66,36.29
3736,LQ6Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.9,0.09958557,21.3,4.45,3.79,6.75,0.189,21.4,0.36,0.05,,0.88,926.44,35.7
3737,LQ8Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.6,0.17331559,19.9,5.73,5.42,6.152,0.187,20.3,0.39,0.01,,0.72,1025.92,41.1
3739,TP5Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet-spinel Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.2,0,18.5,6.75,7.31,6.523,0.186,19.1,0.52,0.02,,,898.32,35.83
3740,TP5Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet-spinel Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,43,0.04,21.2,5.61,3.93,6.46,0.189,20.6,0.46,0.01,,,916.72,33.79
3741,TP6Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet-spinel Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G12,41.4,0,17.7,7.88,8.16,6.841,0.199,18.6,0.4,,,,957.37,40.09
3743,TP9Core,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet-spinel Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G12,41.8,0.012327259,17.8,8.19,8.17,6.884,0.184,17.7,0.55,0.01,,1.49,923.96,38.44
3744,TP9Rim,doi:10.1016/S0024-4937(03)00118-X,Simon 2003,Garnet-spinel Lherzolite,Kalahari,Lesotho,Northern Lesotho Kimbs,Garnet,G9,42.7,0.012594155,21.8,4.52,3.41,6.97,0.189,20.8,0.47,0.03,,0.59,879.63,30.24
3835,PH1,https://doi.org/10.1007/s00410-006-0101-8,Westerlund et al 2006,,Slave,Canada,Panda,Garnet,G10,40.74,0.00717283,17.58,3.78,8.87,6.804,0.351,21.13,0.39,0,48,3.03,965.19,50.04
3836,PH2,https://doi.org/10.1007/s00410-006-0101-8,Westerlund et al 2006,,Slave,Canada,Panda,Garnet,G10,41.63,0.00450387,16.43,1.7,10.55,7.495,0.183,21.45,0.46,0.02,43,4.24,823.48,47.89
3838,PH16,https://doi.org/10.1007/s00410-006-0101-8,Westerlund et al 2006,,Slave,Canada,Panda,Garnet,G10,41.43,0.00700602,17.33,2.28,8.82,7.235,0.184,22.12,0.44,0.02,42,3.39,770.46,35.91
3840,PH18,https://doi.org/10.1007/s00410-006-0101-8,Westerlund et al 2006,,Slave,Canada,Panda,Garnet,G10,41.71,0.0050043,17.92,2.44,8.67,7.154,0.184,21.36,0.47,0.04,35,1.54,795.65,41.81
3841,PH19,https://doi.org/10.1007/s00410-006-0101-8,Westerlund et al 2006,,Slave,Canada,Panda,Garnet,G10,42.25,0.00450387,17.74,1.55,8.62,7.194,0.185,21.74,0.45,0,49,3.54,798.67,37.95
3904,U4av.7,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar LH,Siberia,Russia,Udachnaya,Garnet,G9,42.11,0.12744284,17.9,5.58,7.03,6.584,0.185,20.41,0.3,,124,0.615,1259.11,57.69
3906,U10av.10,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar HZ,Siberia,Russia,Udachnaya,Garnet,G11,41.12,0.49842828,15.55,6.73,9.54,6.897,0.181,19.11,0.3,,120,1.7,1185.16,57.91
3907,U29av.6,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar HZ,Siberia,Russia,Udachnaya,Garnet,G9,41.49,0.006689081,19.17,6.49,6.57,7.204,0.184,18.95,0.46,,25,0.118,897,48.57
3908,U50av.6,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar LH,Siberia,Russia,Udachnaya,Garnet,G11,42.15,0.47257273,19.25,5.45,4.77,7.113,0.186,20.71,0.3,,91.1,0.833,1195.04,54.26
3909,U57av.20,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar HZ,Siberia,Russia,Udachnaya,Garnet,G11,40.28,1.43256428,13.36,6.93,11.09,7.177,0.259,18.83,0.33,0.1,199.4,1.446,1165.83,55.92
3910,U64av.6,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar HZ,Siberia,Russia,Udachnaya,Garnet,G9,40.74,0.11910234,14.86,6.3,11.27,7.468,0.18,18.75,0.4,0.06,51.7,0.544,1024.59,50.54
3911,U70av.46,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar LH,Siberia,Russia,Udachnaya,Garnet,G11,42.31,0.51510928,19,4.88,5,7.833,0.186,20.69,0.31,0.06,77.9,0.47,1160.43,56
3912,U71av.9,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar HZ,Siberia,Russia,Udachnaya,Garnet,G11,41.87,0.6605676,18.17,5.9,5.82,7.076,0.315,20.6,0.3,,84.8,0.74,1196.53,55.57
3913,U85av.6,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar LH,Siberia,Russia,Udachnaya,Garnet,G11,42.59,0.48458305,21.66,4.13,2.01,7.811,0.188,21.5,0.31,0.08,74,0.285,1169.97,55.72
3914,U148av.7,https://doi.org/10.1093/petrology/egq053,Ionov 2010,Gar LH,Siberia,Russia,Udachnaya,Garnet,G11,41.99,0.54580232,19.56,5.14,4.78,7.213,0.186,20.67,0.31,0.05,115,0.566,1246.04,58.62
